,TenBaiHat,TacGia,TheLoai,,
1238,We Are Unstoppable,"Tuấn Khanh, Blacka, Triple D",2,,
1239,Mashup Mắt Đen Bông Hồng Thủy Tinh (Live),Bức Tường,2,,
1240,Lần Cuối (Đi Bên Em Xót Xa Người Ơi),Ngọt,2,,
1241,Dở Hơi,Xanh 8+1,2,,
1242,"Gia Đình Dấu Yêu (From From""Gia Đình Bất Đắc Dĩ"")",Đỗ Thụy Khanh,2,,
1243,Yêu,7UPPERCUTS,2,,
1244,Trúc Mai,Jaigon Orchestra,2,,
1245,Khoảng Cách,The Cassette,2,,
1246,Bài Thánh Ca Khó,Jaigon Orchestra,2,,
1247,Ánh Đèn Phố,The Cassette,2,,
1248,Hồng (Intro),Jaigon Orchestra,2,,
1249,Bùa Chú,"Jaigon Orchestra, Juan Phi",2,,
1250,Tựa Đêm Nay,The Cassette,2,,
1251,Sống,The A Plan,2,,
1252,Espresso,The Cassette,2,,
1253,Làm Sao Làm Sao Giờ Không Biết Luôn Á Đau Lòng Thiệt,DÍNH,2,,
1254,Con Đường Không Tên,Bức Tường,2,,
1255,Ngồi Đây Chi,X-Boyfriend,2,,
1256,Thang 10,Bức Tường,2,,
1257,Cá Rô,The Cassette,2,,
1258,Rừng Đom Đóm,The Cassette,2,,
1259,Vùng Đất Linh Hồn,The Cassette,2,,
1260,Nắng,The Cassette,2,,
1261,Mùa Đông Ở Lại,Bức Tường,2,,
1262,Ly Cafe Không Đường,Bức Tường,2,,
1263,Interlude: 9:00 Pm,The Cassette,2,,
1264,Binh Yen,Bức Tường,2,,
1265,Cô Ấy,Cá Hồi Hoang,2,,
1266,Là Tất Cả,Đá Số Tới,2,,
1267,Mấy Khi,Ngọt,2,,
1268,Để Được Thả Trôi,Giấy Gấp,2,,
1269,Cuối Ngày (Có Nhau Ver.),The Flob,2,,
1270,Nhật Kí,One Game,2,,
1271,Cuối Ngày,The Flob,2,,
1272,Chơi Đi! Chơi! Đi Chơi!,Jaigon Orchestra,2,,
1273,Cà Lem Kem Chuối,Đá Số Tới,2,,
1274,Muốn Bên Anh Bây Giờ,Tuyên,2,,
1275,Bạc Đầu,Jaigon Orchestra,2,,
1276,December,The Cassette,2,,
1277,Cơn Mưa Tháng 5 (Live),Bức Tường,2,,
1278,We Are Unstoppable,"Tuấn Khanh, Blacka, Triple D",2,,
1279,Mashup Mắt Đen Bông Hồng Thủy Tinh (Live),Bức Tường,2,,
1280,Lần Cuối (Đi Bên Em Xót Xa Người Ơi),Ngọt,2,,
1281,Dở Hơi,Xanh 8+1,2,,
1282,"Gia Đình Dấu Yêu (From From""Gia Đình Bất Đắc Dĩ"")",Đỗ Thụy Khanh,2,,
1283,Yêu,7UPPERCUTS,2,,
1284,Trúc Mai,Jaigon Orchestra,2,,
1285,Khoảng Cách,The Cassette,2,,
1286,Bài Thánh Ca Khó,Jaigon Orchestra,2,,
1287,Ánh Đèn Phố,The Cassette,2,,
1288,Hồng (Intro),Jaigon Orchestra,2,,
1289,Bùa Chú,"Jaigon Orchestra, Juan Phi",2,,
1290,Tựa Đêm Nay,The Cassette,2,,
1291,Sống,The A Plan,2,,
1292,Espresso,The Cassette,2,,
1293,Làm Sao Làm Sao Giờ Không Biết Luôn Á Đau Lòng Thiệt,DÍNH,2,,
1294,Con Đường Không Tên,Bức Tường,2,,
1295,Ngồi Đây Chi,X-Boyfriend,2,,
1296,Thang 10,Bức Tường,2,,
1297,Cá Rô,The Cassette,2,,
1298,Rừng Đom Đóm,The Cassette,2,,
1299,Vùng Đất Linh Hồn,The Cassette,2,,
1300,Nắng,The Cassette,2,,
1301,Mùa Đông Ở Lại,Bức Tường,2,,
1302,Ly Cafe Không Đường,Bức Tường,2,,
1303,Interlude: 9:00 Pm,The Cassette,2,,
1304,Binh Yen,Bức Tường,2,,
1305,Cô Ấy,Cá Hồi Hoang,2,,
1306,Là Tất Cả,Đá Số Tới,2,,
1307,Chuyển Kênh (Sản Phẩm Này Không Phải Là Thuốc),Ngọt,2,,
1308,Đông Rồi Tây,The Flob,2,,
1309,Hoa Hướng Dương,GMEZ,2,,
1310,Bùa Chú,Jaigon Orchestra,2,,
1311,Địa Ngục Trần Gian,Phạm Kỳ,2,,
1312,Tiếc,Jaigon Orchestra,2,,
1313,Hát Cùng Nhịp Đàn,Vũ Ngọc Báu,2,,
1314,Ánh Sáng,"Jaigon Orchestra, yeuquaimohihi",2,,
1315,Đừng Nói Tôi Điên,PB Live Band,2,,
1316,Cho,Ngọt,2,,
1317,Em Dạo Này,Ngọt,2,,
1318,Nứt (Đôi Chân Đôi Tay Đôi Mắt Trái Tim),Ngọt,2,,
1319,Cho Tôi Đi Theo,Ngọt,2,,
1320,Hết Thời,Ngọt,2,,
1321,Một Ngày Không Mưa,Ngọt,2,,
1322,Wave Alpha,"7UPPERCUTS, CAM",2,,
1323,Phai,MicroWave,2,,
1324,Ước Muốn,Bức Tường,2,,
1325,Quả Tim Màu Lửa,Kiên Trịnh,2,,
1326,Nhu Mì,"Jaigon Orchestra, tú tú",2,,
1327,Sống Sai,The Flob,2,,
1328,Nghe Những Tiếng Vang,"Urabe, PC",2,,
1329,"Chuyện Cũ, Đừng Nhắc Lại",Những Đứa Trẻ,2,,
1330,Tuổi Thơ Bé,Bức Tường,2,,
1331,Ký Ức,Bức Tường,2,,
1332,Cốc Nước Hong Em?,Chuột Sấm Sét,2,,
1333,Mất Điện,Nam Thế Giới,2,,
1334,Chuyện Tình Trương Chi,WHEE!,2,,
1335,Ngộ (Rock Version),"Lăng LD, KHOA",2,,
1336,Trái Tim Cô Đơn,"IMATXI, Killic",2,,
1337,Em Có Chắc Không,Ngọt,2,,
1338,Lối Rẽ,Bức Tường,2,,
1339,Có Bao Giờ,"The Meo, Freaky",2,,
1340,Đi Về Phía Chân Trời,"Giấy Gấp, Rock Việt",2,,
1341,Khoảng Trống,Bức Tường,2,,
1342,Trên Mái Nhà,Xanh 8+1,2,,
1343,Chuyến Xe,Giấy Gấp,2,,
1344,Em Ăn Gì,"Cút Lộn, Aki (7UPPERCUTS)",2,,
1345,"""NGHIỆP""","Metanoia, Rock Việt",2,,
1346,Chờ Tôi,Trini,2,,
1347,Tìm Người Nhà,Ngọt,2,,
1348,Như Trong Mơ,Xanh 8+1,2,,
1349,Đôi Chân Trần,Ygaria,2,,
1350,Chuyến Đi Dài,Xanh 8+1,2,,
1351,Alright,The Flob,2,,
1352,Đông Cuối,PB Live Band,2,,
1353,Nồng Nàn Cao Nguyên,Ygaria,2,,
1354,Mất Lối,"Brainwavez, Rock Việt",2,,
1355,Những Ngày Tháng Tuyệt Vời,Bức Tường,2,,
1356,Bé,Ngọt,2,,
1357,Nhạc Sàn,Wừu,2,,
1358,Mashup Tâm Hồn Của Đá - Nụ Hôn Trên Đỉnh Phan Xi Păng - Tìm Lại,"Old Bois Band, Rock Việt",2,,
1359,Những Chuyến Đi Dài,Bức Tường,2,,
1360,Xanh,Ngọt,2,,
1361,Tỉnh,POSEIDOSE,2,,
1362,Có Những Thế Giới,Bụi Gió,2,,
1363,Home Sweet Home,District105,2,,
1364,Giả Vờ,Ngọt,2,,
1365,Đi Tìm,Bumblebee,2,,
1366,Giấc Mơ,"WHEE!, Rock Việt",2,,
1367,Phong Lan Đá,"Powerk, Trang Tiny, NS Xuân Dũng",2,,
1368,(Tôi) Đi Trú Đông,Ngọt,2,,
1369,Mặt Nạ,"Cheffin', Rock Việt",2,,
1370,Lối,"Metanoia, Rock Việt",2,,
1371,Alright (Alternative),The Flob,2,,
1372,Dạo Gần Đây,Thoại 004,2,,
1373,Em Deo Biet Nua Anh Oi,7UPPERCUTS,2,,
1374,Lắng Động,"POSEIDOSE, Rock Việt",2,,
1375,Tìm Đâu,Band Nhạc Không Chất Lượng,2,,
1376,Một Đêm,Nguyễn Lê Ngọc Báu,2,,
1377,Chớm Đông,"Bumblebee, Rock Việt",2,,
1378,Ở Nhà Đêêê,The Flob,2,,
1379,Vô Tình,"Tiến Nguyễn, Tổng Đài",2,,
1380,Chuông Báo Thức,Ngọt,2,,
1381,Kẻ Thù,Ngọt,2,,
1382,Thiên Cổ,"MicroWave, Võ Lâm Truyền Kỳ",2,,
1383,Sợ Covid,AMER,2,,
1384,Yêu,"Ngũ Cung, Nguyễn Đức Cường",2,,
1385,Bản Tình Ca Tháng 5,Bức Tường,2,,
1386,Người Yêu Cũ (Acoustic Version),Jaigon Orchestra,2,,
1387,Ngọn Nến Sáng Nhất,"Bumblebee, Rock Việt",2,,
1388,Con - Người,Bo Bluesy,2,,
1389,Chiến Thần Vô Cực (Infinity Nado III),Trần Lập,2,,
1390,ROCKVIBES,DESOLATE,2,,
1391,Hổng biết luôn người yêu ơi,ChipPunks,2,,
1392,Xin Cho Tôi,Ngọt,2,,
1393,W.I.N.G,"Brainwave, Rock Việt",2,,
1394,Âm Nhạc II,Những Đứa Trẻ,2,,
1395,Đừng Vội Buông Tay,"Nòw, Rock Việt",2,,
1396,Thằng Bé,"POSEIDOSE, Rock Việt",2,,
1397,B52,"PB Live Band, JC Hưng, TSIXK",2,,
1398,Chuyện Làng Bên,Thoại 004,2,,
1399,July,The Cassette,2,,
1400,Chiếc Xe Van,"Mèow Lạc, Rock Việt",2,,
1401,Vệt Son 00:12,"WHEE!, Rock Việt",2,,
1402,Đi Tìm Lời Ru Nữ Thần Mặt Trời,Ygaria,2,,
1403,Mỗi Khi Đêm Về,"Minh Đinh, Ngơ",2,,
1404,B (Si),POSEIDOSE,2,,
1405,She's Gone,"Bumblebee, Rock Việt",2,,
1406,Chuồn Chuồn,"Chú Cá Lơ, Rock Việt",2,,
1407,Chú Chim Sơn Ca,POSEIDOSE,2,,
1408,Cho Tôi Đi Theo (Ballad Version),Ngọt,2,,
1409,Sống Trọn Từng Giây,"Aqua Band, Rock Việt",2,,
1410,Khờ,Raditori,2,,
1411,Buổi Hẹn Cuối Cùng,Nam Thế Giới,2,,
1412,Vì Ai,Ngọt,2,,
1413,Trời Cao Biển Rộng,Ngọc Hà,2,,
1414,Tàu Nhanh,Mèow Lạc,2,,
1415,Hạnh Phúc Khi Anh Có Em,PB Live Band,2,,
1416,Đàn Chim Di Cư (Rock Version),"Avin Lu, Hồ Minh Ngọc",2,,
1417,Get Away,Raccoon,2,,
1418,Chân Thật,Band Nhạc Không Chất Lượng,2,,
1419,Con Ong (Xin Em Đừng Nghĩ Suy),Những Đứa Trẻ,2,,
1420,Lời Khó Nói,DayOff,2,,
1421,Nhu Mì (Nhạc Sống Miệt Vườn),Jaigon Orchestra,2,,
1422,Không Vui (Outro),Raditori,2,,
1423,Đến Với Cao Nguyên,Ygaria,2,,
1424,Xin Cho Tôi,Ngọt,2,,
1425,Sống! Hay Tồn Tại,"Aqua Band, Rock Việt",2,,
1426,Mặt Trời Không Lên,The A Plan,2,,
1427,Ngả Nghiêng (Ep Version),Minh Đinh,2,,
1428,Khúc Hát Tuổi Trẻ,"Giấy Gấp, Rock Việt",2,,
1429,Đâu Đó Giữa Những Bất An Và Mưu Cầu Hạnh Phúc,Nam Thế Giới,2,,
1430,Cô Gái Tương Lai,Nam Thế Giới,2,,
1431,Take Off (Hard Rock Version),"Hoàng Rapper, Nguyễn Dân",2,,
1432,Mèo Hoang,Ngọt,2,,
1433,Bài Funky Cho Em,The Meo,2,,
1434,Say,"Unlock Band, Rock Việt",2,,
1435,Ước Mơ Như Con Thuyền,"Phách Ca, Rock Việt",2,,
1436,Bartender,Ngọt,2,,
1437,Ly Cafe Ban Mê,Ygaria,2,,
1438,Kho Báu,Ngọt,2,,
1439,Quên,Raditori,2,,
1440,Gạt 2,Brainwave,2,,
1441,À Ơi,Ngọt,2,,
1442,Việt Quất Mật Ong,Nam Thế Giới,2,,
1443,Vườn Cây Và Ánh Mặt Trời,Nam Thế Giới,2,,
1444,Kaycee,Jaigon Orchestra,2,,
1445,Minh Mẫn,Raditori,2,,
1446,Đi Tìm Bóng Núi,Ygaria,2,,
1447,Đồng Tiền & Quyền Lực,"Huỳnh James, Pjnboys",2,,
1448,Long Gone,The Cassette,2,,
1449,Tiếng Đàn Goong Lu,Ygaria,2,,
1450,Vui (Intro),Raditori,2,,
1451,BÃO,NevaDie,2,,
1452,Chó Sủa Người Đi,Huy Râu,2,,
1453,Cá Hồi (Live),Ngọt,2,,
1454,Người Thị Phi,Thoại 004,2,,
1455,Tôi Người Hải Phòng,Tuấn RC,2,,
1456,Gọi Em,Ygaria,2,,
1457,Thiên Thần Về Giời,Minh Đinh,2,,
1458,When The Star Come Out,The Cassette,2,,
1459,Hoa Tàn Hoa Nở,Audicity,2,,
1460,Vàng,Nam Thế Giới,2,,
1461,Người Đàn Bà Hóa Đá (Live),"Nguyễn Văn Thắng, Hà Văn Đông",2,,
1462,Sống,Metanoia,2,,
1463,Đầu Tiên Là Tiền Đâu?,89 Band,2,,
1464,Quan Điểm,Ngọt,2,,
1465,Đừng Để Nhau Rơi,Minh Đinh,2,,
1466,Vô Cảm,"DJ TUS, TRUNG HIPS, LMT",2,,
1467,Anh Chỉ Muốn Bên Em Mà Thôi,Band Nhạc Không Chất Lượng,2,,
1468,You Were The Only Good Thing Happened Last Summer,7UPPERCUTS,2,,
1469,Everybody Wants To Be Loved,The Cassette,2,,
1470,Người Yêu Mới (Acoustic Version),Jaigon Orchestra,2,,
1471,Vòng Lặp,Phách Ca,2,,
1472,Gạt,Brainwave,2,,
1473,Không Làm Gì,Ngọt,2,,
1474,Bóng Đen,Jack - J97,2,,
1475,Cao Nguyên Vào Mùa,Ygaria,2,,
1476,Về Dưới Ánh Mặt Trời,Cheffin',2,,
1477,Drama Queen,Ngọt,2,,
1478,Vài Lời Nói,Nam Thế Giới,2,,
1479,Psychotramps's Anthem,"Trần Trung Lĩnh, Nguyễn Hồng Việt",2,,
1480,Chuyện Ruồi,KLAF,2,,
1481,Vết Nhơ,Đông Đô,2,,
1482,Chào Buổi Sáng,"Cheffin', Rock Việt",2,,
1483,Cùng Chạy,Brainwave,2,,
1484,Bắc Kim Thang,ATM,2,,
1485,Sầu Riêng,Minh Đinh,2,,
1486,Không Tưởng (R.E.M),Trần Thu Hà,2,,
1487,Mưa Bóng Mây,Mèow Lạc,2,,
1488,Ở Đó,Thoại 004,2,,
1489,Be Cool,Ngọt,2,,
1490,Sẽ Không Yêu Thêm Ai (Country Rock Version),Tạ Quang Thắng,2,,
1491,Ký Ức Xa Lạ,The Meo,2,,
1492,Vì Sao,Nhà Kho,2,,
1493,Vô Hình,Raditori,2,,
1494,Khắp Xung Quanh,Ngọt,2,,
1495,Sài Gòn Hôm Nay,Nhã Ca,2,,
1496,"Ngày Bé, Lúc Lớn",Những Đứa Trẻ,2,,
1497,Trống Vắng (Rock Version),Phương Thanh,2,,
1498,Quên,MicroWave,2,,
1499,Từ Đó Cover,"Tổng Đài, Tiến Nguyễn",2,,
1500,Phát Điên,"Chú Cá Lơ, Rock Việt",2,,
1501,Giấc Mơ Từng Mơ,"Solar Eclipse, Rock Việt",2,,
1502,Sai,MicroWave,2,,
1503,Bay 2,MicroWave,2,,
1504,Cám Dỗ,Voluptuary,2,,
1505,"Nhất Quỷ, Nhì Ma, Thứ Ba Lũ Quạ",Mèow Lạc,2,,
1506,Giấc Mơ Còn Mãi,"Bohemian Hideaway, Thành Luke",2,,
1507,XXV,Bức Tường,2,,
1508,Rơi,"BOF, Rock Việt",2,,
1509,Đừng Để Nhau Rơi,Minh Đinh,2,,
1510,Chỉ Là Giấc Mơ,MicroWave,2,,
1511,Có Lúc,Trini,2,,
1512,Trông Hơi Quá Đà,Thu Vũ,2,,
1513,Ngày Cuối,"Solar Eclipse, Rock Việt",2,,
1514,Một Ngày Hạ,"Mèow Lạc, Rock Việt",2,,
1515,She Neva Know (Remix 2012 ),"JustaTee, DJ",2,,
1516,Ngựa Ô Thương Nhớ,Phạm Anh Khoa,2,,
1517,Kho Báu,Ngọt,2,,
1518,"Nhất Quỷ, Nhì Ma, Thứ Ba Lũ Quạ",Mèow Lạc,2,,
1519,Đánh Đàn,Raditori,2,,
1520,Vỡ,Raditori,2,,
1521,Wait (Acoustic Version),Oringchains,2,,
1522,Cho Tôi Đam Mê,Giấy Gấp,2,,
1523,Tháng Năm,Second Attempt,2,,
1524,Rose,Windrunner,2,,
1525,Nhớ,MicroWave,2,,
1526,Trôi,Bột Màu Khoai Tây Cà Rốt,2,,
1527,Bão Đêm,MicroWave,2,,
1528,Shoe!,Nam Thế Giới,2,,
1529,Đường Đến Ngày Vinh Quang,V.A,2,,
1530,Ngày Rạo Rực,Thành Luke,2,,
1531,Khi Ta Không Còn Nhau,iTễu,2,,
1532,Đông Chí,"Unlock, Rock Việt",2,,
1533,Man Lê 1979,Ngũ Cung,2,,
1534,Giữ Ấm Bếp Hồng,Ygaria,2,,
1535,Khóc Đi,The Meo,2,,
1536,Mảnh Vỡ Hình Họa,"Mèow Lạc, Rock Việt",2,,
1537,Like A Fool,"The Bohemian Basterds, Rock Việt",2,,
1538,Đường Về Nhà,Châu Đăng Khoa,2,,
1539,Thăng Hoa (Sublime),Trần Thu Hà,2,,
1540,Một Ngày Trong Ta,"Dang DING, Quanh",2,,
1541,Lễ Tốt Nghiệp,Mèow Lạc,2,,
1542,Đam Mê Quay Về,Giấy Gấp,2,,
1543,Cá Hồi,Ngọt,2,,
1544,Tháng Mười Hai,Bức Tường,2,,
1545,Việt Nam Việt Nam,"MTV, Nguyễn Dân",2,,
1546,Tỉnh,Nòw,2,,
1547,Những Đứa Trẻ,Những Đứa Trẻ,2,,
1548,Say,MicroWave,2,,
1549,Vỡ,"BOF, Rock Việt",2,,
1550,Looking For A Girl,"Raw Diamonds, Rock Việt",2,,
1551,Chung Một Con Đường,MicroWave,2,,
1552,Rồi Ánh Trăng Tan,Trini,2,,
1553,Sống Như Chưa Từng,"Dakota, DLBlack",2,,
1554,Em Đi Học,Cút Lộn,2,,
1555,Can You Read My Mind?,"Coastal Connection, Rock Việt",2,,
1556,Tình Ca,PAK Band,2,,
1557,Khác Lạ,Raditori,2,,
1558,Đi Về,Raditori,2,,
1559,Đừng,MicroWave,2,,
1560,Thăng Hoa,Trần Thu Hà,2,,
1561,Circle Of Life,The A Plan,2,,
1562,Mùa Mây,Khang's,2,,
1563,Cô Gái Làng Này,ACE Flame,2,,
1564,Dậy Mà Đi,PAK Band,2,,
1565,Thiền Ca,Nhã Ca,2,,
1566,Say,MicroWave,2,,
1567,Có Anh Trong Cuộc Đời,Rút Kinh Nghiệm,2,,
1568,Em Uống Bia,Cút Lộn,2,,
1569,Em Đi Đổ Rác,Cút Lộn,2,,
1570,Where Are You,Min Hari,2,,
1571,Ký Ức Vẹn Nguyên,Mai Quốc Hòa,2,,
1572,Vài Gã Trên Đường,Savage Monkeys,2,,
1573,A Collection Of Pointless Thoughts,"Umbrella Man, Rock Việt",2,,
1574,A Thousand Miles Away,Khu Bị Động,2,,
1575,Vó Ngựa Trên Đồi Cỏ Non,Roc Piin,2,,
1576,Cảm Ơn Em,Nông Tiến Bắc,2,,
1577,Vỡ Tan (Break),Bụi Gió,2,,
1578,Tìm Lại Chính Ta,"CM1X, Huy YNB",2,,
1579,Xin,MicroWave,2,,
1580,Hoa Ban Trắng,"Trần Lập, Dương Hoàng Yến",2,,
1581,Đã Thành Vết Hằn Sâu,Ygaria,2,,
1582,Mùa Thu,Những Đứa Trẻ,2,,
1583,Khóc Giữa Mặt Trời,Bụi Gió,2,,
1584,Ô Cửa (Rock Version) (Ngôi Sao Khoai Tây OST),Võ Đình Hiếu,2,,
1585,Sẽ Thế Thôi,Lego,2,,
1586,Hãy Nói Với Anh,Ygaria,2,,
1587,Sài Gòn Say,Gia Đình Cáo,2,,
1588,Tiến Lên Việt Nam,Chu Bảo Long,2,,
1589,Hòn Vọng Phu,UnlimiteD,2,,
1590,Hai Giờ Sáng,Audicity,2,,
1591,Liệu Em Có Quay Về,iTễu,2,,
1592,Hành Trình Kết Nối Đam Mê,Tuấn Khanh,2,,
1593,Tâm Hồn Của Đá,"Quốc Bình, Tấn Đạt",2,,
1594,Những Chuyến Phiêu Lưu,Ngọt,2,,
1595,Khát,Metanoia,2,,
1596,Cây Và Gió,Thủy Triều Đỏ,2,,
1597,K'Bing Ơi,Vinh Quang,2,,
1598,Live Wave,Ngũ Cung,2,,
1599,Cơn Mưa Tháng 5,Second Attempt,2,,
1600,Reject,iTễu,2,,
1601,Tiếng Trống Mê Linh,Gin-B Nguyễn,2,,
1602,Vòng Quay Vô Cực,Trần Lập,2,,
1603,Yêu Là Không Hối Tiếc,Trini,2,,
1604,Thế Giới Không Phiền Lo,AMER,2,,
1605,Nối Vòng Tay Lớn (Rock Version),UnlimiteD,2,,
1606,Nhìn Hay Hay,CAM,2,,
1607,Tái Sinh,Hạc San,2,,
1608,Bình Minh Sinh Viên Trở Lại,Bức Tường,2,,
1609,Ta Mơ,iTễu,2,,
1610,Đêm (Nyx),Trần Thu Hà,2,,
1611,Muốn Em Biết,Những Gã Mộng Mơ,2,,
1612,Nối Vòng Tay Lớn,Fanatic Band,2,,
1613,Một Nhành Mai,Fanatic Band,2,,
1614,Phố Đêm (Bướm OST),Hồng Việt,2,,
1615,Nhìn Xem,CAM,2,,
1616,Happy New Year,Roc Piin,2,,
1617,Một Thời Đam Mê,Những Đứa Trẻ,2,,
1618,Bí Mật Tam Giác Vàng,Kasim Hoàng Vũ,2,,
1619,Bước,iTễu,2,,
1620,Giấc Mơ Chapi (Giai Điệu Tự Hào 2015),Ngũ Cung,2,,
1621,I Wanna Be A Star,PB Live Band,2,,
1622,Và Em,MEC Music Club,2,,
1623,Bánh Xe Thời Gian,Cụ Minh Rock,2,,
1624,Vì Sao Em,Oringchains,2,,
1625,Những Người Con Của Lính,Trần Lập,2,,
1626,Vòng Xoáy Vô Cực,Trần Lập,2,,
1627,Giấc Mơ Tình Đầy (Demo),MicroWave,2,,
1628,Bay Dưới Làn Mưa,Những Đứa Trẻ,2,,
1629,Đi Tìm,Những Đứa Trẻ,2,,
1630,Hoang Tàn,Hạc San,2,,
1631,Những Chuyến Đi Dài Cover,Vinh Quang,2,,
1632,Kí Ức Ở Lại (Loved),9th Dimension,2,,
1633,K'bing Ơi,Minh Chi,2,,
1634,Đừng Nuối Tiếc,Roc Piin,2,,
1635,Tình Yêu Ấy,"K-Hau, M.O.X, Cuộc Sốngs",2,,
1636,Chào Ngày Mới,Hoàng Hải,2,,
1637,Nối Vòng Tay Lớn,Phạm Anh Khoa,2,,
1638,Tan,Oringchains,2,,
1639,Nếu Mai Tôi Ra Đi,Ygaria,2,,
1640,Về Ăn Cơm,"Quốc Bình, Sogin, Hieuz",2,,
1641,Kí Ức Vẹn Nguyên,Re-Cycle,2,,
1642,Một Điều Là Mãi Mãi,Rosewood,2,,
1643,Xin Hãy Thứ Tha,Phạm Anh Khoa,2,,
1644,Những Chàng Trai Vùng Cao,Tuấn Mạnh,2,,
1645,Nghe Rõ Chưa?,Cheffin',2,,
1646,Tận Cùng,Re-Cycle,2,,
1647,Đã Từng,Re-Cycle,2,,
1648,Em Bị Oánh,Cút Lộn,2,,
1649,Giữ Lại Cho Ấu Thơ,Trini,2,,
1650,Nối Vòng Tay Lớn,Hải Thuận,2,,
1651,Ngẫu Hứng Sông Hồng,PAK Band,2,,
1652,Sắc Màu,Anh Khoa,2,,
1653,Chuyện Tình A Sử,Alpha Band,2,,
1654,Ký Ức Vẹn Nguyên (Acoustic),Re-Cycle,2,,
1655,Thiên Thần Của Anh (While Your Lips Are Still Red),Tuấn Thelight,2,,
1656,Mũi Tên Đen,Hạc San,2,,
1657,Sài Gòn Rồi Ổn Thôi (Rock Version),Thao Ngo,2,,
1658,Cây Bàng (Live),Bức Tường,2,,
1659,We Wish You A Merry Christmas,UnlimiteD,2,,
1660,Quên Nhau Đi,iTễu,2,,
1661,Cứu Tôi,Picub,2,,
1662,Ngôi Sao Từ Behelem,UnlimiteD,2,,
1663,Này! Em Xinh Ơi,Hoàng Nghiệp,2,,
1664,Song Song,Lưu Quang Minh,2,,
1665,Mùa Đông Đã Qua,Ygaria,2,,
1666,Ngẫu Hứng Sông Hồng,Phạm Anh Khoa,2,,
1667,Mad Tears Won't Fall,MONOCYCLE,2,,
1668,Anh Em,Titanium,2,,
1669,Vì Đời (Live),Hải Bột,2,,
1670,Ai Thích,iTễu,2,,
1671,Trở Về Buôn Làng Xưa,Minh Chi,2,,
1672,Ngày Không Mưa,Phạm Anh Khoa,2,,
1673,Không Chùn Bước,Phạm Anh Khoa,2,,
1674,Em Ơi Hà Nội Phố (Rock Version),Phạm Anh Khoa,2,,
1675,Sống Như Những Cánh Diều,Aqua Band,2,,
1676,Nếu Như,KOP,2,,
1677,The Final Countdown,UnlimiteD,2,,
1678,Cuộc Sống Vẫn Còn,Bụi Gió,2,,
1679,Dừng Lại Khởi Đầu,Hải Bột,2,,
1680,Bạn Xưa (Reconcile),Mèow Lạc,2,,
1681,Dậy Mà Đi (Giọng Hát Việt Nhí),Cao Hà Đức Anh,2,,
1682,Chính Lúc Này,Bảo Dũng,2,,
1683,Mặt Trời,Oringchains,2,,
1684,Wish You Well,MONOCYCLE,2,,
1685,(Intro) Mad Tears Won't Fall,MONOCYCLE,2,,
1686,Một Cuộc Sống Khác,Empty Spaces,2,,
1687,Chuyện Phiếm,iTễu,2,,
1688,Tự Kỷ,iTễu,2,,
1689,Rocking On The Stage,iTễu,2,,
1690,Sexy,iTễu,2,,
1691,Đường Về (Acoustic),Quái Vật Tí Hon,2,,
1692,Thời Gian,Ygaria,2,,
1693,Ngày Hôm Qua,9th Dimension,2,,
1694,Những Câu Chuyện Trên Mái Nhà,Quái Vật Tí Hon,2,,
1695,Betrayal,Nemesis,2,,
1696,Một Bình Minh Tuyệt Vời,Những Đứa Trẻ,2,,
1697,Nối Vòng Tay Lớn (Live),Nam Hùng Band,2,,
1698,Bí Mật Của Người Ra Đi,Hạc San,2,,
1699,Chỉ Là Giấc Mơ (Live),MicroWave,2,,
1700,Mặt Nạ (Mask),Trần Thu Hà,2,,
1701,Đi Về Yêu Thương,Fanatic Band,2,,
1702,Khóc Để Biết (Rock Version),Brother A Tuấn Anh,2,,
1703,Satisfaction (J. Rabbit Remix),Benny Benassi,2,,
1704,Đò Xuôi Thạch Hãn,Nhà Kho,2,,
1705,Gió Bấc,Ngũ Cung,2,,
1706,Giấc Mơ Hồn Tan,"Cụ Minh Rock, Phước Lion",2,,
1707,Tiếng Vọng,Oringchains,2,,
1708,Hai Người Lính,K300,2,,
1709,Khoảng Cách,Bụi Gió,2,,
1710,Biển Khát,Phạm Anh Khoa,2,,
1711,Chocolate,The Banisterz,2,,
1712,Một Bài Thơ Nữa Cho Đàn Ông,Nhà Kho,2,,
1713,Con Thuyền,Re-Cycle,2,,
1714,Hẹn,Trini,2,,
1715,Bắc Kim Thang,Gia Bin,2,,
1716,Cao Nguyên Đá,Ngũ Cung,2,,
1717,Hàng Ghế Đầu,Tô Khương,2,,
1718,Trở Về Tuổi Thơ (Live),Ngũ Cung,2,,
1719,Anh Em,Vinh Quang,2,,
1720,Nhiệt Huyết,Duy Hiển,2,,
1721,Cúi Xuống,Cụ Minh Rock,2,,
1722,Hãy Quen,Cụ Minh Rock,2,,
1723,Bay Lên,UnlimiteD,2,,
1724,Khúc Xuân Thịnh Vượng,MicroWave,2,,
1725,Em Trong Tim Anh,Ygaria,2,,
1726,Tôi Yêu Hà Nội,"Cuộc Sốngs, Hồ Hải Yến",2,,
1727,Tháng Sáu (Dành Cho Tháng Sáu Ost),Re-Cycle,2,,
1728,Vì Sao Em (Acoustic Live),Oringchains,2,,
1729,Bồ Công Anh (Dandelion),Trần Thu Hà,2,,
1730,Ngược Miền Sáng,Bụi Gió,2,,
